Rms,EventID,Location,Latitude,Longitude,Depth,Type,Magnitude,Country,Province,District,Neighborhood,Date,isEventUpdate,lastUpdateDate
0.3,643662,Bahşili (Kırıkkale),39.69028,33.32556,7.46,ML,1.2,Türkiye,Kırıkkale,Bahşili,Sarıkayalar,11/19/2024 5:12:49 PM,False,
0.22,643665,Bahşili (Kırıkkale),39.66222,33.25722,7.71,ML,0.7,Türkiye,Kırıkkale,Bahşili,Keklicek,11/19/2024 5:36:14 PM,False,
0.31,643723,Kızılcahamam (Ankara),40.62361,32.77667,6.99,ML,1.8,Türkiye,Ankara,Kızılcahamam,Yağcıhüseyin,11/20/2024 8:31:43 AM,False,
0.82,643725,Pursaklar (Ankara),40.09611,32.95,7,ML,1.1,Türkiye,Ankara,Pursaklar,Saray Gümüşoluk,11/20/2024 8:50:20 AM,False,
0.3,643796,Kaman (Kırşehir),39.31472,33.92222,7,ML,1.4,Türkiye,Kırşehir,Kaman,Orta,11/21/2024 2:41:48 AM,False,
0.19,643803,Çelebi (Kırıkkale),39.46,33.50167,7,ML,1,Türkiye,Kırıkkale,Çelebi,Yeni,11/21/2024 6:29:05 AM,False,
0.4,643820,Bala (Ankara),39.49139,32.92222,7.01,ML,2.7,Türkiye,Ankara,Bala,Ahmetçayırı,11/21/2024 12:48:24 PM,False,
0.48,643823,Bala (Ankara),39.50444,32.94139,7,ML,1.9,Türkiye,Ankara,Bala,Yöreli,11/21/2024 1:00:14 PM,False,
0.21,643826,Bala (Ankara),39.4875,32.93028,11.74,ML,1.7,Türkiye,Ankara,Bala,Ahmetçayırı,11/21/2024 2:01:04 PM,False,
0.41,643850,Ilgaz (Çankırı),40.89417,33.60306,9.16,ML,2.1,Türkiye,Çankırı,Ilgaz,Gaziler,11/21/2024 9:34:23 PM,False,
0.36,644124,Kalecik (Ankara),40.28528,33.435,7,ML,1.1,Türkiye,Ankara,Kalecik,Çaykaya,11/26/2024 12:10:01 AM,False,
