Rms,EventID,Location,Latitude,Longitude,Depth,Type,Magnitude,Country,Province,District,Neighborhood,Date,isEventUpdate,lastUpdateDate
0.52,649934,Merkez (Çankırı),40.64472,33.67667,15.17,ML,1.1,Türkiye,Çankırı,Merkez,Tuzlu,1/26/2025 4:47:25 AM,False,
0.14,649966,Bala (Ankara),39.43556,33.08667,7,ML,0.8,Türkiye,Ankara,Bala,Afşar,1/26/2025 6:55:34 PM,False,
0.17,649997,Mamak (Ankara),39.88528,33.11333,7.02,ML,0.6,Türkiye,Ankara,Mamak,Kutludüğün,1/27/2025 2:39:15 AM,False,
0.36,650016,Ilgaz (Çankırı),40.94361,33.75528,14.81,ML,2,Türkiye,Çankırı,Ilgaz,Arpayeri,1/27/2025 8:07:09 AM,False,
0.63,650042,Çubuk (Ankara),40.17389,32.90806,6.99,ML,1.5,Türkiye,Ankara,Çubuk,İkipınar,1/27/2025 2:11:07 PM,False,
0.32,650074,Gölbaşı (Ankara),39.62444,32.92028,7.62,ML,1.2,Türkiye,Ankara,Gölbaşı,Karaali Yazlık,1/27/2025 10:06:03 PM,False,
0.15,650230,Kaman (Kırşehir),39.33306,33.6725,7,ML,1.1,Türkiye,Kırşehir,Kaman,Hacıpınar,1/29/2025 7:54:07 AM,False,
0.62,650240,Bala (Ankara),39.42306,33.35556,7,ML,1.2,Türkiye,Ankara,Bala,Kesikköprü Erdemli,1/29/2025 8:49:52 AM,False,
0.27,650241,Çelebi (Kırıkkale),39.48167,33.485,7,ML,1,Türkiye,Kırıkkale,Çelebi,Hacıyusuflu,1/29/2025 8:57:08 AM,False,
0.09,650320,Çankaya (Ankara),39.8125,32.94222,7,ML,1.1,Türkiye,Ankara,Çankaya,Yakupabdal,1/30/2025 10:56:38 AM,False,
0.29,650342,Korgun (Çankırı),40.69,33.5225,9,ML,1.5,Türkiye,Çankırı,Korgun,Alpsarı,1/30/2025 4:50:51 PM,False,
0.07,650385,Çerkeş (Çankırı),40.75611,32.93694,11.51,ML,0.8,Türkiye,Çankırı,Çerkeş,Yeşilöz,1/31/2025 2:10:07 AM,False,
0.19,650417,Bala (Ankara),39.52889,33.28833,7,ML,1.1,Türkiye,Ankara,Bala,Büyükboyalık,1/31/2025 7:34:16 AM,False,
0.7,650428,Yahşihan (Kırıkkale),39.88556,33.41056,7,ML,0.9,Türkiye,Kırıkkale,Yahşihan,Kılıçlar,1/31/2025 9:27:04 AM,False,
0.26,650466,Korgun (Çankırı),40.67194,33.48722,7,ML,0.9,Türkiye,Çankırı,Korgun,Alpsarı,1/31/2025 5:04:08 PM,False,
0.21,650588,Gerede (Bolu),40.84278,32.16083,7.09,ML,0.9,Türkiye,Bolu,Gerede,Kitirler,2/1/2025 10:25:29 PM,False,
0.44,650853,Polatlı (Ankara),39.14944,32.22222,9.41,ML,2.2,Türkiye,Ankara,Polatlı,Şıhahmetli,2/3/2025 3:39:45 PM,False,
0.41,651204,Eldivan (Çankırı),40.40583,33.4575,9.01,ML,1.9,Türkiye,Çankırı,Eldivan,Hisarcık,2/5/2025 6:32:26 AM,False,
0.07,651208,Çelebi (Kırıkkale),39.46778,33.52861,7,ML,1,Türkiye,Kırıkkale,Çelebi,Barbaros,2/5/2025 7:23:22 AM,False,
0.35,651404,Çerkeş (Çankırı),40.65944,32.82889,7.18,ML,1.4,Türkiye,Çankırı,Çerkeş,Bozcaarmut,2/6/2025 2:10:23 PM,False,
0.7,651559,Yahşihan (Kırıkkale),40.00778,33.54139,6.94,ML,1.1,Türkiye,Kırıkkale,Yahşihan,Keçili,2/7/2025 1:53:53 PM,False,
